rank,trend,streams,popularity,duration_ms,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,language_id,date
151.0,1.0,18237.0,57.0,243920.0,0.662,0.813,11.0,-9.044,1.0,0.0425,0.278,5.63E-4,0.0587,0.96,100.855,4.0,1.0,2015.0
152.0,2.0,18209.0,0.0,162840.0,0.661,0.907,10.0,-1.621,0.0,0.203,0.0799,0.0,0.242,0.87,94.069,4.0,1.0,2014.0
153.0,0.0,18126.0,0.0,201200.0,0.769,0.764,11.0,-3.522,0.0,0.175,0.194,0.0,0.136,0.592,89.991,4.0,1.0,2016.0
154.0,0.0,18103.0,0.0,275945.0,0.78,0.845,10.0,-4.748,1.0,0.0724,0.195,0.0,0.284,0.694,95.981,4.0,1.0,2014.0
88.0,2.0,20351.0,59.0,206760.0,0.849,0.759,9.0,-6.232,0.0,0.0304,0.0951,1.21E-4,0.127,0.948,110.983,4.0,1.0,2017.0
156.0,1.0,17636.0,0.0,277173.0,0.736,0.73,2.0,-5.534,1.0,0.0537,0.614,0.0,0.278,0.888,150.113,4.0,1.0,1980.0
157.0,1.0,17626.0,0.0,194533.0,0.84,0.65,2.0,-7.556,1.0,0.0678,0.112,7.19E-5,0.117,0.747,92.698,4.0,1.0,2013.0
158.0,0.0,17442.0,0.0,276688.0,0.67,0.679,7.0,-5.618,1.0,0.118,0.189,0.0,0.168,0.798,172.069,4.0,1.0,2016.0
159.0,0.0,17336.0,50.0,241876.0,0.754,0.618,7.0,-6.528,1.0,0.13,0.213,0.0,0.102,0.477,87.983,4.0,1.0,2017.0
160.0,0.0,17168.0,0.0,189000.0,0.639,0.828,0.0,-3.071,1.0,0.0775,0.0545,0.0,0.0443,0.952,178.033,4.0,0.0,2016.0
161.0,0.0,17000.0,56.0,205386.0,0.402,0.767,11.0,-3.683,1.0,0.041,0.0513,0.0,0.143,0.328,155.933,4.0,1.0,2014.0
162.0,1.0,16874.0,51.0,149812.0,0.724,0.654,11.0,-8.37,0.0,0.0985,0.164,0.0,0.229,0.708,139.451,3.0,1.0,2016.0
163.0,1.0,16865.0,0.0,167053.0,0.731,0.863,2.0,-5.331,1.0,0.0377,0.125,0.0,0.195,0.963,107.992,4.0,1.0,2016.0
164.0,0.0,16845.0,86.0,202333.0,0.734,0.637,4.0,-5.677,0.0,0.141,0.0462,2.29E-5,0.0602,0.648,169.977,4.0,0.0,2015.0
165.0,0.0,16789.0,0.0,231157.0,0.777,0.687,9.0,-5.667,0.0,0.0722,0.0385,0.0,0.134,0.692,89.998,4.0,1.0,2016.0
166.0,1.0,16760.0,0.0,196306.0,0.614,0.876,9.0,-3.632,0.0,0.0299,0.385,1.08E-5,0.215,0.788,96.326,4.0,1.0,1980.0
167.0,0.0,16734.0,0.0,193733.0,0.681,0.793,0.0,-6.42,1.0,0.0922,0.0154,1.94E-6,0.101,0.569,125.03,4.0,0.0,2016.0
168.0,0.0,16670.0,0.0,229240.0,0.743,0.771,5.0,-7.648,0.0,0.319,0.396,8.28E-4,0.445,0.775,171.935,4.0,1.0,2016.0
169.0,0.0,16642.0,0.0,233666.0,0.743,0.773,9.0,-4.787,1.0,0.109,0.202,0.0,0.0896,0.794,88.95,4.0,1.0,2016.0
170.0,1.0,16424.0,13.0,219021.0,0.7,0.809,5.0,-2.912,1.0,0.0301,0.0277,0.0,0.172,0.691,104.032,4.0,0.0,2016.0
171.0,1.0,16390.0,53.0,160768.0,0.749,0.714,0.0,-4.826,0.0,0.0328,0.382,0.0,0.304,0.962,109.905,4.0,1.0,2015.0
172.0,0.0,16305.0,66.0,221053.0,0.748,0.866,11.0,-3.41,0.0,0.057,0.111,0.0,0.0727,0.839,96.037,4.0,0.0,2015.0
173.0,1.0,16260.0,55.0,313546.0,0.493,0.939,9.0,-5.648,0.0,0.0609,0.0755,1.21E-6,0.976,0.765,160.082,4.0,1.0,2011.0
174.0,2.0,16202.0,18.0,175800.0,0.788,0.886,6.0,-5.912,0.0,0.081,0.243,0.0,0.568,0.89,99.938,4.0,0.0,2016.0
