title,artist,album,af_danceability,af_energy,af_loudness,af_speechiness,af_acousticness,af_instrumentalness,af_valence,af_tempo,language_id
Mi tesoro (feat. Nicky Jam),Zion & Lennox,Motivan2,0.725,0.711,-4.544,0.0335,0.0821,0.0,0.477,93.003,1.0
My Way,Calvin Harris,My Way,0.818,0.913,-3.06,0.0426,0.093,3.69E-5,0.536,119.986,0.0
Márchate ahora,Los Totora,Sin mirar Atrás,0.76,0.775,-6.579,0.0784,0.148,0.0,0.754,101.946,1.0
Nena,Marama,Todo Comenzó Bailando,0.75,0.716,-5.438,0.0336,0.11,0.0,0.881,110.068,1.0
No Llores,LOAN,No Llores Mas,0.609,0.703,-6.567,0.0939,0.0662,0.0,0.715,209.86,1.0
No Me Arrepiento de Este Amor,Gilda,20 Grandes Exitos,0.771,0.852,-4.61,0.0406,0.336,1.81E-5,0.919,96.067,1.0
No Me Olvides,La Beriso,Historias,0.402,0.767,-3.683,0.041,0.0513,0.0,0.328,155.933,1.0
No Quiere Enamorarse (Remix) [feat. Daddy Yankee],Ozuna,No Quiere Enamorarse (Remix) [feat. Daddy Yankee],0.765,0.814,-3.14,0.0666,0.144,0.0,0.818,164.073,1.0
No Te Vayas,Marama,Todo Comenzó Bailando,0.69,0.81,-4.2,0.042,0.211,0.0,0.891,142.351,1.0
No hay más nada,Los Totora,Cuestión de tiempo,0.534,0.734,-5.277,0.229,0.0183,0.0,0.809,210.158,1.0
Noche Loca,"Marama, Rombai",Todo Comenzó Bailando,0.752,0.753,-5.84,0.0661,0.104,0.0,0.911,112.094,1.0
Nunca me Faltes,Antonio Rios,El Maestro,0.767,0.702,-5.952,0.0316,0.157,9.07E-5,0.869,104.619,1.0
Ocho Cuarenta,Rodrigo,Cuarteteando,0.614,0.702,-10.145,0.0316,0.0759,0.0,0.851,147.98,1.0
Olvídala,Banda XXI,Ven Pa' La Rumba,0.736,0.73,-5.534,0.0537,0.614,0.0,0.888,150.113,1.0
One Dance,"Drake, WizKid, Kyla",Views,0.791,0.619,-5.886,0.0532,0.00784,0.00423,0.371,103.989,0.0
Otra copa (feat. Farruko),Justin Quiles,La Promesa,0.754,0.618,-6.528,0.13,0.213,0.0,0.477,87.983,1.0
Otra vez (feat. J Balvin),Zion & Lennox,Motivan2,0.832,0.772,-5.429,0.1,0.0559,4.86E-4,0.704,96.016,1.0
Papi Shampu,Papichamp,Papi Shampu,0.629,0.763,-5.572,0.0926,0.0831,0.00388,0.886,94.009,0.0
Pasarla Bien,Marama,Pasarla Bien,0.652,0.733,-6.368,0.0906,0.0456,0.0,0.754,108.062,1.0
Perfect Strangers,"Jonas Blue, JP Cooper",Jonas Blue: Electronic Nature - The Mix 2017,0.739,0.833,-5.012,0.0463,0.35,0.0,0.699,117.99,0.0
Persiana Americana,Agapornis,Agapornis - Volando Con Ritmo,0.719,0.709,-3.918,0.0333,0.0277,0.0,0.931,111.919,1.0
Picky,Joey Montana,Picky Back To The Roots,0.783,0.748,-4.683,0.0892,0.147,0.0,0.806,93.222,0.0
Pierde Los Modales,"J Balvin, Daddy Yankee",Energía,0.769,0.764,-3.522,0.175,0.194,0.0,0.592,89.991,1.0
Por Fin Te Encontré,"Cali Y El Dandee, Juan Magán, Sebastian Yatra",Por Fin Te Encontré,0.641,0.826,-3.69,0.223,0.0536,0.0,0.845,179.988,1.0
Pájaro Cantor,Abel Pintos,11,0.611,0.87,-2.257,0.0347,0.115,2.93E-6,0.847,142.003,1.0
Que Bonito,Banda XXI,Los Verdugos De La Mufa,0.778,0.813,-6.486,0.0304,0.371,8.16E-5,0.962,140.031,1.0
Que Raro,"Feid, J Balvin",Que Raro,0.743,0.771,-7.648,0.319,0.396,8.28E-4,0.775,171.935,1.0
Quiero Que Sepas,Juan Magán,Quiero Que Sepas,0.715,0.656,-5.673,0.0484,0.391,0.0,0.593,110.055,1.0
